Name of Promoter _x000D_,Class of Shares _x000D_,No. of Shares _x000D_,% of total shares _x000D_,% Change during the year _x000D_
Mukesh Vasani _x000D_, Equity _x000D_," 1,23,15,735 _x000D_",60.33% _x000D_,-21.66% _x000D_
Nirmal Vasani _x000D_, Equity _x000D_," 11,93,050 _x000D_",5.84% _x000D_,-2.11% _x000D_
Dhruti Vasani _x000D_, Equity _x000D_," 10,12,500 _x000D_",4.96% _x000D_,-1.79% _x000D_
Sharmilaben Bambhaniya _x000D_, Equity _x000D_, 25 _x000D_,0.00% _x000D_,0.00% _x000D_
Himalay Bambhaniya _x000D_, Equity _x000D_," 7,000 _x000D_",0.03% _x000D_,-0.02% _x000D_
Nishtha Bambhaniya _x000D_, Equity _x000D_, 800 _x000D_,0.00% _x000D_,100.00% _x000D_
Lakhan Bambhaniya _x000D_, Equity _x000D_," 2,420 _x000D_",0.01% _x000D_,100.00% _x000D_
Lakhanbhai Ambabhai Bambhaniya - HUF _x000D_, Equity _x000D_," 1,600 _x000D_",0.01% _x000D_,100.00% _x000D_
Bhanu Vasani _x000D_, Equity _x000D_," 34,090 _x000D_",0.17% _x000D_,-0.05% _x000D_
Lilavati Pambhar _x000D_, Equity _x000D_, 800 _x000D_,0.00% _x000D_,100.00% _x000D_
