Particulars _x000D_,Outstanding for following periods from due date of payment _x000D_,Unnamed: 2,Unnamed: 3,Unnamed: 4,Total_x000D_
,Less than  1 year _x000D_,1-2 years _x000D_,2-3 years _x000D_,More than  3 years _x000D_,
MSME _x000D_,,,,,-   _x000D_
Others _x000D_, 178.64 _x000D_, 12.34 _x000D_, 32.19 _x000D_,, 223.17 _x000D_
Disputed dues- MSME _x000D_,,,,,-   _x000D_
Disputed dues- Others _x000D_,,,,,-   _x000D_
Sub total _x000D_,,,,, 223.17 _x000D_
MSME - Undue _x000D_,,,,, 63.36 _x000D_
Others - Undue _x000D_,,,,, 281.92 _x000D_
Total   _x000D_,,,,, 568.46 _x000D_
