(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Accured Interest _x000D_, 14.00 _x000D_, 11.08 _x000D_
Advance given for property purchase _x000D_,-   _x000D_, 11.00 _x000D_
Advance Tax _x000D_, 787.00 _x000D_, 450.50 _x000D_
Export Rebate Claim _x000D_, 64.63 _x000D_,-   _x000D_
GST receivable _x000D_, 517.61 _x000D_, 331.01 _x000D_
IGST Receivable - Export Rebate Claim _x000D_,-   _x000D_, 182.15 _x000D_
Prepaid Expenses _x000D_, 1.75 _x000D_, 12.46 _x000D_
Security Deposit  _x000D_, 0.26 _x000D_, 0.01 _x000D_
Statutory Liabilities _x000D_," 1,872.27 _x000D_", 150.85 _x000D_
TDS receivable _x000D_, 87.62 _x000D_, 6.06 _x000D_
Total _x000D_," 3,345.14 _x000D_"," 1,155.12 _x000D_"
