Particulars _x000D_,Details _x000D_
Name of the subsidiary _x000D_,Aimtron Electronics LLC _x000D_
The date since when subsidiary was acquired/Incorporated _x000D_,5th August 2024 _x000D_
"Reporting period for the subsidiary concerned, if different from the holding Company’s reporting period _x000D_","1st of April, 2024 to 31st of March, 2025 Same as holding company’s reporting period _x000D_"
Reporting currency and Exchange rate as on the last date of the relevant Financial year in the case of foreign subsidiaries _x000D_,Reporting currency: USD Exchange rate as on the last date of the relevant Financial year : 85.5814 _x000D_
Share capital _x000D_,503.21 _x000D_
Reserves and Surplus _x000D_,4.37 _x000D_
Total assets _x000D_,507.58 _x000D_
Total Liabilities (excluding share capital and reserve & surplus) Details of Investments _x000D_,0 _x000D_
,
Turnover _x000D_,87.65 _x000D_
Profit before taxation _x000D_,4.37 _x000D_
Provision for taxation _x000D_,0 _x000D_
Profit after taxation _x000D_,4.37 _x000D_
Proposed Dividend _x000D_,-_x000D_
Extent of shareholding (% of shareholding) _x000D_,100% _x000D_
