No. _x000D_,Name of related party _x000D_,Relationship _x000D_,Nature of transaction _x000D_
1. _x000D_,Aimtron Electronics LLC _x000D_,Wholly owned subsidiary _x000D_,Purchase & Sales _x000D_
,,,Services provided _x000D_
2. _x000D_,Aimtron Corporation USA _x000D_,Company under same management _x000D_,Purchase & Sales _x000D_
,,,Services provided _x000D_
3. _x000D_,American Pinball USA _x000D_,Company under same management _x000D_,Sales _x000D_
,,,Services provided _x000D_
4. _x000D_,Aimtron Systems LLC USA _x000D_,Company under same management _x000D_,Purchase & Sales _x000D_
,,,Services provided _x000D_
5. _x000D_,Aimtron Technologies LLC _x000D_,Company under same management _x000D_,Sales _x000D_
,,,Services provided _x000D_
6 _x000D_,Aimtron Foundation _x000D_,Company under same management _x000D_,CSR Activities _x000D_
7. _x000D_,Aimtron Technologies Private Limited _x000D_,Company under same management _x000D_,Services availed _x000D_
,,,Renting of Premises _x000D_
