Sr. No. _x000D_,Date of Meeting _x000D_,Board Strength _x000D_,No. of Directors Present _x000D_
1 _x000D_,15.04.2024 _x000D_,6 _x000D_,3 _x000D_
2 _x000D_,22.05.2024 _x000D_,6 _x000D_,4 _x000D_
3 _x000D_,23.05.2024 _x000D_,6 _x000D_,4 _x000D_
4 _x000D_,29.05.2024 _x000D_,6 _x000D_,4 _x000D_
5 _x000D_,04.06.2024 _x000D_,6 _x000D_,4 _x000D_
6 _x000D_,22.06.2024 _x000D_,6 _x000D_,6 _x000D_
7 _x000D_,06.07.2024 _x000D_,6 _x000D_,5 _x000D_
8 _x000D_,13.08.2024 _x000D_,6 _x000D_,6 _x000D_
9 _x000D_,08.11.2024 _x000D_,6 _x000D_,6 _x000D_
10 _x000D_,02.01.2025 _x000D_,5 _x000D_,4 _x000D_
