(i) List of Related Parties _x000D_,Relationship _x000D_
Mukesh Vasani _x000D_,Director _x000D_
Nirmal Vasani _x000D_,Director _x000D_
Sharmila Bambhaniya _x000D_,Director _x000D_
Aimtron Technologies Private Limited _x000D_,Company with same management _x000D_
Aimtron Foundation _x000D_,Company with same management _x000D_
Aimtron Corporation USA _x000D_,Foreign Company with same management _x000D_
American Pinball USA _x000D_,Foreign Company with same management _x000D_
Aimtron Design Studio USA _x000D_,Foreign Company with same management _x000D_
Aimtron Properties USA _x000D_,Foreign Company with same management _x000D_
Aimtron Systems USA _x000D_,Foreign Company with same management _x000D_
Aimtron Foundation USA _x000D_,Foreign Company with same management _x000D_
Aimtron Technologies LLC _x000D_,Foreign Company with same management _x000D_
Lakhan Bambhaniya _x000D_,Spouse of Director _x000D_
Ashwani Kumar Srivastava _x000D_,Director _x000D_
Prerna Bokil _x000D_,Director _x000D_
Nischal Sanghvi _x000D_,Director _x000D_
Nikita Shah _x000D_,CFO _x000D_
Priyanka Shah _x000D_,Company Secretary _x000D_
Aimtron Electronics LLC _x000D_,Wholly Owned Subsidiary Company _x000D_
