Particulars _x000D_,Numerator/Denominator _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_,Change in % _x000D_
(a) Current Ratio _x000D_,Current Assets   _x000D_, 2.55 _x000D_, 2.47 _x000D_,3.27% _x000D_
,Current Liabilities _x000D_,,,
(b) Debt-Equity Ratio _x000D_,Total Debts   _x000D_, 0.00 _x000D_, 0.28 _x000D_,-98.54% _x000D_
,Shareholder’s Equity _x000D_,,,
(c) Return on Equity Ratio _x000D_,Profit after Tax _x000D_,24.89% _x000D_,31.26% _x000D_,-20.37% _x000D_
,Average Shareholder’s Equity _x000D_,,,
(d) Inventory turnover ratio _x000D_,Total Turnover _x000D_, 4.47 _x000D_, 2.19 _x000D_,103.96% _x000D_
,Average Inventories _x000D_,,,
(e) Trade receivables turnover ratio _x000D_,Total Turnover _x000D_, 3.08 _x000D_, 9.28 _x000D_,-66.83% _x000D_
,Average Trade Receivable _x000D_,,,
(f) Trade payables turnover ratio _x000D_,Total Purchases _x000D_, 4.35 _x000D_, 7.32 _x000D_,-40.55% _x000D_
,Average Trade Payable _x000D_,,,
(g) Net capital turnover ratio _x000D_,Total Turnover _x000D_, 1.37 _x000D_, 2.25 _x000D_,-39.11% _x000D_
,Closing Working Capital _x000D_,,,
(h) Net profit ratio _x000D_,Net Profit   _x000D_,16.26% _x000D_,14.63% _x000D_,11.15% _x000D_
,Total Turnover _x000D_,,,
(i) Return on Capital employed _x000D_,Earning before interest and taxes _x000D_,20.78% _x000D_,30.58% _x000D_,-32.03% _x000D_
,Capital Employed _x000D_,,,
(j) Return on investment _x000D_,Return on Investment _x000D_,0.00% _x000D_,0.00% _x000D_,
,Total Investment _x000D_,,,
