(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Particulars _x000D_,Outstanding for following periods from due date of payment _x000D_,,,,Total_x000D_
,Less than  1 year _x000D_,1-2 years _x000D_,2-3 years _x000D_,More than  3 years _x000D_,
MSME _x000D_, 1.59 _x000D_,,,, 1.59 _x000D_
Others _x000D_, 421.57 _x000D_, 62.99 _x000D_, 26.38 _x000D_,, 510.95 _x000D_
Disputed dues- MSME _x000D_,,,,,-   _x000D_
Disputed dues- Others _x000D_,,,,,-   _x000D_
Sub total _x000D_,,,,, 512.53 _x000D_
MSME - Undue _x000D_,,,,," 2,265.69 _x000D_"
Others - Undue _x000D_,,,,,
Total   _x000D_,,,," 4,682.36 _x000D_",
