Particulars _x000D_, Outstanding for following periods from due date of payment _x000D_,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Total_x000D_
, Less than  6 months _x000D_, 6 months- 1 year _x000D_, 1-2 years _x000D_, 2-3 years _x000D_, More than  3 years _x000D_,
Undisputed Trade receivables- considered good _x000D_, 908.01 _x000D_," 1,194.94 _x000D_", 53.93 _x000D_,-   _x000D_,-   _x000D_," 2,156.88 _x000D_"
Undisputed Trade Receivables- considered doubtful _x000D_,,,,,,-   _x000D_
Disputed Trade Receivables considered good _x000D_,,,,, 155.77 _x000D_, 155.77 _x000D_
Disputed Trade Receivables considered doubtful _x000D_,,,,,-   _x000D_,-   _x000D_
Sub total _x000D_,,,,,," 2,312.65 _x000D_"
Undue - considered good _x000D_,,,,,," 6,448.59 _x000D_"
Provision for doubtful debts _x000D_,,,,,, (51.90) _x000D_
Total   _x000D_,,,,,," 8,709.34 _x000D_"
