Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Raw Material Consumed _x000D_,,
Opening stock _x000D_," 1,763.83 _x000D_"," 3,080.87 _x000D_"
Purchases _x000D_," 11,458.93 _x000D_"," 4,412.22 _x000D_"
Less: Closing stock _x000D_," 2,189.64 _x000D_"," 1,763.83 _x000D_"
Total _x000D_," 11,033.12 _x000D_"," 5,729.27 _x000D_"
Packing Material Consumed _x000D_,,
Opening stock _x000D_, 4.96 _x000D_,-   _x000D_
Purchases _x000D_, 44.58 _x000D_,-   _x000D_
Adjustment _x000D_, 41.05 _x000D_,-   _x000D_
Less: Closing stock _x000D_, 8.48 _x000D_, 4.96 _x000D_
Total _x000D_, 82.10 _x000D_, (4.96) _x000D_
Total _x000D_," 11,115.22 _x000D_"," 5,724.31 _x000D_"
