(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
,,
- Disburshment Fees _x000D_, 12.35 _x000D_, 8.07 _x000D_
- Entertainment & Meals _x000D_, 8.26 _x000D_,-   _x000D_
- Gain / Loss of Foreign Exchange Rate Fluctuations _x000D_, (165.85) _x000D_, 89.89 _x000D_
- GST Expense _x000D_, 1.06 _x000D_, 43.72 _x000D_
- Hotel Expenses _x000D_, 2.72 _x000D_, 1.05 _x000D_
- I.T. Technical Services _x000D_, 5.57 _x000D_, 1.62 _x000D_
- Interest on TDS and others _x000D_, 2.47 _x000D_, 14.15 _x000D_
- Loading & Unloading Charges _x000D_, 8.64 _x000D_, 2.02 _x000D_
- Loss on sale of fixed assets _x000D_,-   _x000D_, 1.99 _x000D_
- Maintenance Exp _x000D_, 9.71 _x000D_, 7.01 _x000D_
- Manpower Recruitment Expense _x000D_, 15.10 _x000D_, 10.61 _x000D_
- Shipping Handling Charges _x000D_, 4.44 _x000D_, 2.79 _x000D_
- Sitting Fees of Independent Directors _x000D_, 1.05 _x000D_,-   _x000D_
- Software Upgradation / Renewal Charges _x000D_, 5.71 _x000D_, 13.44 _x000D_
- Utilities - Water _x000D_, 2.93 _x000D_, 2.29 _x000D_
- Warehouse / Storage Charges / Bonded Charges _x000D_, 6.34 _x000D_, 3.33 _x000D_
, 418.00 _x000D_, 606.69 _x000D_
