Sr. No. _x000D_,Particulars _x000D_,Resolution No. 5 _x000D_,Resolution No. 6 _x000D_
1 _x000D_,Name of the related party _x000D_,Aimtron Corporation _x000D_,Aimtron Systems LLC _x000D_
2 _x000D_,Relationship with the Company including nature of concern or interest _x000D_,Group Company _x000D_,Group Company _x000D_
3 _x000D_,Type of proposed transaction _x000D_,"a) Purchase or sale lease or supply of goods, _x000D_","a) Purchase or sale lease or supply of goods, _x000D_"
,, b) Availing or rendering of services _x000D_,b) Availing or rendering of services _x000D_
4 _x000D_,Amount & Value of the proposed transaction _x000D_,Rs. 100 crores _x000D_,Rs. 20 crores _x000D_
5 _x000D_,Material terms and particulars of the proposed transaction _x000D_,"Purchase, sell of goods and to avail or render services including job work _x000D_","Purchase, sell of goods and to avail or render services including job work _x000D_"
6 _x000D_,"Name of Director(s) or Key Managerial Personnel who is related, if any _x000D_","Mr. Mukesh Vasani & Mr. Nirmal Vasani, the Non executive Directors of the company are related _x000D_","Mr. Mukesh Vasani & Mr. Nirmal Vasani, the Non executive Directors of the company are related _x000D_"
7 _x000D_,Justification as to why the RPT is in the interest of the listed entity _x000D_,"The proposed related party transaction is in the ordinary course of business and conducted at arm’s length, with pricing benchmarked against prevailing market rates and comparable third-party transactions. The arrangement enables Aimtron to leverage synergies within the group, ensuring cost-effective procurement and timely delivery of high-quality products and services, which are critical to its manufacturing and operational needs. The group company’s technical expertise, established infrastructure, and aligned business objectives provide Aimtron with operational continuity, reduced lead times, and enhanced efficiency. The transaction has been reviewed and approved by the Audit Committee and Board of Directors, and is in the best interest of the company and its stakeholders without adversely affecting the interests of minority shareholders. _x000D_","The proposed related party transaction is in the ordinary course of business and conducted at arm’s length, with pricing benchmarked against prevailing market rates and comparable third-party transactions. The arrangement enables Aimtron to leverage synergies within the group, ensuring cost-effective procurement and timely delivery of high-quality products and services, which are critical to its manufacturing and operational needs. The group company’s technical expertise, established infrastructure, and aligned business objectives provide Aimtron with operational continuity, reduced lead times, and enhanced efficiency. The transaction has been reviewed and approved by the Audit Committee and Board of Directors, and is in the best interest of the company and its stakeholders without adversely affecting the interests of minority shareholders. _x000D_"
8 _x000D_,Percentage of the counterparty’s annual consolidated turnover represented by value of proposed RPT _x000D_,Approximate 18% _x000D_,Approximate 6% _x000D_
9 _x000D_,"A copy of the valuation or other external party report, if any, such report has been relied upon _x000D_",Not Applicable _x000D_,Not Applicable _x000D_
10 _x000D_,Any other information relevant _x000D_,The proposed transaction is in the ordinary course of business at an arm’s length basis _x000D_,The proposed transaction is in the ordinary course of business at an arm’s length basis _x000D_
