(i) _x000D_,The Ratio of the remuneration of each director to the median remuneration of the employees of the company for the financial year 2024-25 _x000D_,Director’s Name _x000D_,Ratio to median remuneration _x000D_
,,"Mrs. Sharmilaben Lakhanbhai Bambhaniya, Whole Time Director _x000D_",2.39 _x000D_
,,"Dr. Ashwani Kumar Srivastava, Whole Time Director (ceased w.e.f. 01/12/2024) Assuming full years’ salary _x000D_",2.39 _x000D_
(ii) _x000D_,"The Percentage increase in remuneration of each Director, Chief Financial Officer, Chief Executive Officer, Company Secretary or Manager if any in the financial year 2024-25 compared to 2023-24 _x000D_",Director’s/CFO/CEO/CS/name _x000D_,% increase in remuneration _x000D_
,,"Mrs. Sharmilaben Lakhanbhai Bambhaniya, Whole Time Director _x000D_",Nil _x000D_
,,"Dr. Ashwani Kumar Srivastava, Whole Time Director _x000D_",Nil _x000D_
,,"Ms. Priyanka Shah, CS _x000D_",Nil _x000D_
,,"Ms. Nikita  Shah, CFO _x000D_",30.93% _x000D_
(iii) _x000D_,Percentage increase in the median remuneration of employees in the financial year 2024-25 compared to 2023-24 _x000D_,11.74% _x000D_,
(iv) _x000D_,Number of permanent employees on the rolls of the company _x000D_,As on 31.03.2025 _x000D_,As on 31.03.2024 _x000D_
,,165 _x000D_,141 _x000D_
(viii) _x000D_,Average percentile increase in salaries of Employees other than managerial personnel _x000D_,During 2024-25 _x000D_,During 2023-24 _x000D_
,,5.95% _x000D_,NA _x000D_
,Justification for increase / decrease with reasons for any exceptional circumstances _x000D_,Aligned as per the industry practice and is within the normal range. No exceptional circumstances occurred. _x000D_,
