Particulars _x000D_,FY 2024-2025 _x000D_,FY 2023-2024 _x000D_
Revenue from Operation _x000D_,"1,583.1 _x000D_",929.9 _x000D_
Total Expenditure _x000D_,"1,242.2 _x000D_",693.5 _x000D_
COGS _x000D_,"1,153.5 _x000D_",574.8 _x000D_
Employee Benefit Expenses _x000D_,49.2 _x000D_,58.0 _x000D_
Other Expenses _x000D_,40.0 _x000D_,60.8 _x000D_
EBITDA _x000D_,340.8 _x000D_,236.3 _x000D_
EBITDA Margin (%) _x000D_,21.5 _x000D_,25.4 _x000D_
Other Income _x000D_,29.2 _x000D_,7.5 _x000D_
Depreciation _x000D_,46.4 _x000D_,41.1 _x000D_
EBIT _x000D_,323.7 _x000D_,202.7 _x000D_
Interest _x000D_,2.4 _x000D_,15.8 _x000D_
Profit Before Tax _x000D_,321.3 _x000D_,186.9 _x000D_
Tax _x000D_,63.9 _x000D_,50.9 _x000D_
Profit After Tax _x000D_,257.4 _x000D_,136.0 _x000D_
Net Profit Margin (%) _x000D_,16.3 _x000D_,14.6 _x000D_
Earnings Per Share (Rs) _x000D_,13.19 _x000D_,9.06 _x000D_
