(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2,Unnamed: 3
Particulars _x000D_,Note _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Revenue from Operations _x000D_,19 _x000D_," 15,830.73 _x000D_"," 9,297.59 _x000D_"
Other Income _x000D_,20 _x000D_, 292.29 _x000D_, 75.37 _x000D_
Total Income _x000D_,," 16,123.02 _x000D_"," 9,372.96 _x000D_"
Expenses _x000D_,,,
Cost of Material Consumed _x000D_,21 _x000D_," 11,035.38 _x000D_"," 5,724.31 _x000D_"
Change in Inventories of work in progress and finished goods _x000D_,22 _x000D_, 495.41 _x000D_, 23.20 _x000D_
Employee Benefit Expenses _x000D_,23 _x000D_, 492.17 _x000D_, 580.88 _x000D_
Finance Costs _x000D_,24 _x000D_, 23.77 _x000D_, 158.21 _x000D_
Depreciation and Amortization Expenses _x000D_,25 _x000D_, 463.80 _x000D_, 410.77 _x000D_
Other Expenses _x000D_,26 _x000D_, 399.51 _x000D_, 606.69 _x000D_
Total expenses _x000D_,," 12,910.04 _x000D_"," 7,504.06 _x000D_"
Profit/(Loss) before Exceptional and Extraordinary Item and Tax _x000D_,," 3,212.98 _x000D_"," 1,868.90 _x000D_"
Exceptional Item _x000D_,,-   _x000D_,-   _x000D_
Profit/(Loss) before Extraordinary Item and Tax _x000D_,," 3,212.98 _x000D_"," 1,868.90 _x000D_"
Extraordinary Item _x000D_,,-   _x000D_,-   _x000D_
Profit/(Loss) before Tax _x000D_,," 3,212.98 _x000D_"," 1,868.90 _x000D_"
Tax Expenses _x000D_,27 _x000D_,,
- Current Tax _x000D_,, 675.00 _x000D_, 486.00 _x000D_
- Deferred Tax _x000D_,, (36.75) _x000D_, 22.96 _x000D_
- Prior Period Taxes _x000D_,, 0.95 _x000D_,-   _x000D_
Profit/(Loss) after Tax _x000D_,," 2,573.78 _x000D_"," 1,359.94 _x000D_"
Earnings Per Share (Face Value per Share ₹10 each) _x000D_,,,
- Basic (In ₹ _x000D_,28 _x000D_, 13.19 _x000D_, 9.06 _x000D_
- Diluted (In ₹ _x000D_,28 _x000D_, 13.19 _x000D_, 9.06 _x000D_
